Model,RMSE,MAE,R2
Gradient_Boosting,63275.180056252044,42925.99731403234,0.9742984227133523
Random_Forest,66582.08977142005,45886.637577099216,0.9715417728788971
Linear_Regression,1.3963782265929165e+17,1.2592225074626734e+17,-1.251696776612955e+23
